rank,name,first_print_year,cmc,color,card_type,keywords,keyword_count,categories,semantic_count,total_ability_count,abilities_per_cmc
1,Pip-Boy 3000,2024,1.0,Colorless,Artifact,"Check Map, Pick a Perk, Equip, Sort Inventory",4,"card_advantage, counters, discard",3,7,7.0
2,Waterlogged Hulk // Watertight Gondola,2023,1.0,Blue,Artifact,"Craft, Vigilance, Transform, Descend, Crew, Mill",6,,1,7,7.0
3,Three Steps Ahead,2024,1.0,Blue,Instant,Spree,1,"card_advantage, tokens, counterspell, discard, copy",5,6,6.0
4,"Momo, Playful Pet",2025,1.0,White,Creature,"Scry, Flying, Vigilance, Food",4,"tokens, counters",2,6,6.0
5,Currency Converter,2022,1.0,Colorless,Artifact,Treasure,1,"card_advantage, removal, tokens, graveyard, discard",5,6,6.0
6,"Cecil, Dark Knight // Cecil, Redeemed Paladin",2025,1.0,Black,Creature,"Lifelink, Protect, Transform, Darkness, Deathtouch",5,,1,6,6.0
7,HONK!,2023,1.0,Green,Instant,"The Goose is Loose, Food, The Goose Laid an Egg",3,"removal, tokens, counters",3,6,6.0
8,Survivor's Med Kit,2024,1.0,Colorless,Artifact,"Stimpak, Food, RadAway, Fancy Lads Snack Cakes",4,"card_advantage, tokens",2,6,6.0
9,Old Fogey,2004,2.0,Green,Other,"Landwalk, Flanking, Fading, Protection, Banding, Plainswalk, Rampage, Phasing, Echo, Cumulative upkeep",10,,1,11,5.5
10,Color Pie,2025,1.0,Colorless,Artifact,,0,"card_advantage, direct_damage, ramp, graveyard, life",5,5,5.0
11,Lightwheel Enhancements,2025,1.0,White,Enchantment,"Max speed, Enchant, Start your engines!",3,"graveyard, pump",2,5,5.0
12,"Grist, Voracious Larva // Grist, the Plague Swarm",2024,1.0,Green,Creature,"Transform, Mill, Deathtouch",3,"graveyard, blink",2,5,5.0
13,Oteclan Landmark // Oteclan Levitator,2023,1.0,White,Creature,"Scry, Flying, Craft, Transform",4,,1,5,5.0
14,Dino DNA,2023,1.0,Colorless,Artifact,Imprint,1,"removal, tokens, graveyard, copy",4,5,5.0
15,"K-9, Mark I",2023,1.0,Blue,Creature,"Negative, Affirmative, Doctor's companion",3,"protection, evasion",2,5,5.0
16,Diamond Pick-Axe,2023,1.0,Red,Artifact,"Indestructible, Treasure, Equip",3,"tokens, pump",2,5,5.0
17,Thunder Magic,2025,1.0,Red,Instant,"Thunder, Thundaga, Tiered, Thundara",4,direct_damage,1,5,5.0
18,Reckless Lackey,2024,1.0,Red,Creature,"First strike, Treasure, Haste",3,"card_advantage, tokens",2,5,5.0
19,Pampered Loamfrill,2025,1.0,Green,Creature,"Renew, Conjure, Deathtouch",3,"graveyard, pump",2,5,5.0
20,Cling to Dust,2020,1.0,Black,Instant,Escape,1,"card_advantage, removal, graveyard, life",4,5,5.0
21,Crystal Fragments // Summon: Alexander,2025,1.0,White,Creature,"Flying, Transform, Equip",3,"pump, blink",2,5,5.0
22,Ocelot Pride,2024,1.0,White,Creature,"Lifelink, Ascend, First strike",3,"tokens, copy",2,5,5.0
23,Bruce Banner // The Incredible Hulk,2026,1.0,Blue,Creature,"Reach, Enrage, Transform, Trample",4,card_advantage,1,5,5.0
24,A-Thousand-Faced Shadow,2022,1.0,Blue,Creature,"Flying, Ninjutsu",2,"tokens, evasion, copy",3,5,5.0
25,Chaplain of Alms // Chapel Shieldgeist,2021,1.0,White,Creature,"Flying, Transform, First strike, Ward, Disturb",5,,0,5,5.0
26,Fire Magic,2025,1.0,Red,Instant,"Fire, Firaga, Fira, Tiered",4,direct_damage,1,5,5.0
27,You Line Up the Shot,2022,1.0,Green,Instant,"Aim for the Cursed Amulet, Fire a Warning Shot, Aim for the Wyvern, Conjure",4,card_advantage,1,5,5.0
