card_name,card_type,color,cmc,power_rank,power_score,pctrank_power,deck_count,total_copies,unscored,unscored_reason,prevalence_flat,prevalence_placement,prevalence_prestige,prevalence_combined,pctrank_prevalence_flat,pctrank_prevalence_placement,pctrank_prevalence_prestige,pctrank_prevalence_combined,gap_flat,gap_placement,gap_prestige,gap_combined
Force of Will,Instant,Blue,5.0,26269.0,1475.0,2.8528528528528527,682,2776,False,scored,2.255077,2.248482,2.28028,2.315308,100.0,100.0,100.0,100.0,97.14714714714715,97.14714714714715,97.14714714714715,97.14714714714715
Thought-Knot Seer,Creature,Colorless,4.0,25274.0,2470.0,4.2042042042042045,44,175,False,scored,0.142161,0.13915,0.117618,0.144707,90.96385542168674,89.95983935742971,87.8012048192771,90.21084337349397,86.75965121748254,85.75563515322551,83.5970006150729,86.00663916928977
Omniscience,Enchantment,Blue,10.0,27382.0,362.0,0.3003003003003003,44,124,False,scored,0.100731,0.072888,0.107107,0.084539,86.144578313253,81.72690763052209,86.74698795180723,82.98192771084338,85.8442780129527,81.42660733022178,86.44668765150692,82.68162741054307
Simian Spirit Guide,Creature,Red,3.0,21810.0,5934.0,12.312312312312313,184,621,False,scored,0.504468,0.413031,0.586086,0.487433,97.28915662650603,96.88755020080322,97.89156626506023,97.18875502008032,84.97684431419371,84.5752378884909,85.57925395274792,84.876442707768
Force of Negation,Instant,Blue,3.0,22729.0,5015.0,9.90990990990991,150,261,False,scored,0.212023,0.181668,0.22973,0.211729,94.27710843373494,92.7710843373494,94.77911646586345,93.47389558232932,84.36719852382502,82.86117442743948,84.86920655595354,83.5639856724194
Elvish Spirit Guide,Creature,Green,3.0,22177.0,5567.0,10.96096096096096,66,263,False,scored,0.213647,0.151298,0.235235,0.216299,94.37751004016064,90.86345381526104,94.97991967871486,93.67469879518072,83.41654907919968,79.90249285430008,84.0189587177539,82.71373783421976
"Teferi, Time Raveler",Planeswalker,Multicolor,3.0,22755.0,4989.0,9.60960960960961,101,204,False,scored,0.165719,0.167863,0.160661,0.135948,92.570281124498,91.76706827309236,91.86746987951807,89.35742971887551,82.96067151488839,82.15745866348276,82.25786026990846,79.7478201092659
"Emrakul, the Aeons Torn",Creature,Colorless,15.0,23839.0,3905.0,7.357357357357357,75,157,False,scored,0.127539,0.100497,0.137638,0.150038,89.4578313253012,85.89357429718875,89.95983935742971,90.66265060240964,82.10047396794384,78.53621693983139,82.60248200007236,83.30529324505228
Natural Order,Sorcery,Green,4.0,24827.0,2917.0,4.504504504504505,45,126,False,scored,0.102356,0.110988,0.095596,0.114623,86.24497991967871,86.74698795180723,85.89357429718875,87.24899598393574,81.7404754151742,82.24248344730272,81.38906979268424,82.74449147943123
Recruiter of the Guard,Creature,White,3.0,23077.0,4667.0,9.15915915915916,44,168,False,scored,0.136474,0.131971,0.136136,0.119193,90.56224899598394,89.4578313253012,89.60843373493975,87.65060240963855,81.40308983682478,80.29867216614204,80.44927457578059,78.49144325047939
Unmask,Sorcery,Black,4.0,24105.0,3639.0,6.006006006006006,35,132,False,scored,0.10723,0.09111,0.11011,0.107007,86.69678714859438,84.73895582329317,87.1987951807229,86.39558232931726,80.69078114258838,78.73294981728716,81.19278917471689,80.38957632331126
Devourer of Destiny,Creature,Colorless,7.0,27218.0,526.0,0.7507507507507507,33,79,False,scored,0.064175,0.058531,0.055556,0.067784,80.82329317269077,78.21285140562249,78.5140562248996,79.61847389558233,80.07254242194001,77.46210065487173,77.76330547414885,78.86772314483157
"Muxus, Goblin Grandee",Creature,Red,6.0,26684.0,1060.0,2.4024024024024024,24,90,False,scored,0.073111,0.168415,0.084084,0.151181,82.3293172690763,91.91767068273093,84.28714859437751,90.8132530120482,79.9269148666739,89.51526828032853,81.88474619197511,88.41085060964579
Murktide Regent,Creature,Blue,7.0,18645.0,9099.0,18.76876876876877,311,850,False,scored,0.690496,0.768636,0.74975,0.828256,98.29317269076306,98.59437751004016,98.29317269076306,98.69477911646587,79.52440392199429,79.8256087412714,79.52440392199429,79.9260103476971
Skyclave Apparition,Creature,White,3.0,23114.0,4630.0,8.85885885885886,41,107,False,scored,0.086921,0.079514,0.085085,0.073877,84.53815261044177,83.03212851405623,84.43775100401606,81.07429718875503,75.67929375158292,74.17326965519737,75.5788921451572,72.21543832989616
Daze,Instant,Blue,2.0,17364.0,10380.0,23.873873873873872,443,1467,False,scored,1.191714,1.120375,1.218719,1.175171,99.29718875502007,99.29718875502007,99.29718875502007,99.29718875502007,75.4233148811462,75.4233148811462,75.4233148811462,75.4233148811462
Once Upon a Time,Instant,Green,2.0,18128.0,9616.0,20.57057057057057,105,304,False,scored,0.246954,0.247929,0.217217,0.269231,95.18072289156626,94.67871485943775,94.27710843373494,94.47791164658635,74.6101523209957,74.10814428886718,73.70653786316437,73.90734107601578
Snuff Out,Instant,Black,4.0,24262.0,3482.0,5.7057057057057055,50,77,False,scored,0.062551,0.107123,0.06006,0.101676,80.2710843373494,86.54618473895582,79.81927710843374,85.24096385542168,74.56537863164368,80.8404790332501,74.11357140272803,79.53525814971597
Palace Jailer,Creature,White,4.0,24092.0,3652.0,6.156156156156157,41,78,False,scored,0.063363,0.08614,0.056056,0.084539,80.52208835341365,84.23694779116465,78.66465863453816,82.98192771084338,74.3659321972575,78.0807916350085,72.508502478382,76.82577155468722
Griselbrand,Creature,Black,8.0,20373.0,7371.0,16.366366366366368,50,113,False,scored,0.091795,0.059083,0.094595,0.053694,85.24096385542168,78.3132530120482,85.7429718875502,76.355421686747,68.87459748905532,61.94688664568183,69.37660552118383,59.98905532038063
Craterhoof Behemoth,Creature,Green,8.0,23901.0,3843.0,6.756756756756757,43,52,False,scored,0.042242,0.050801,0.041041,0.057502,75.40160642570281,76.30522088353413,75.20080321285141,77.66064257028113,68.64484966894605,69.54846412677738,68.44404645609465,70.90388581352437
Stoneforge Mystic,Creature,White,2.0,16914.0,10830.0,25.225225225225227,64,246,False,scored,0.199838,0.183876,0.191191,0.154227,93.77510040160642,92.8714859437751,93.47389558232932,91.16465863453816,68.54987517638119,67.64626071854987,68.24867035710409,65.93943340931293
"Narset, Parter of Veils",Planeswalker,Blue,3.0,22722.0,5022.0,10.06006006006006,25,54,False,scored,0.043867,0.072336,0.038038,0.081493,76.10441767068274,81.52610441767068,73.84538152610442,82.68072289156626,66.04435761062268,71.46604435761063,63.78532146604436,72.6206628315062
Goblin Matron,Creature,Red,3.0,21404.0,6340.0,13.813813813813814,21,74,False,scored,0.060114,0.118719,0.068569,0.114242,79.56827309236948,87.8012048192771,81.62650602409639,87.14859437751004,65.75445927855567,73.9873910054633,67.81269221028258,73.33478056369623
