,Q_official,Q_proxy
1989-01-31,0.4798,
1989-02-28,,0.4681
1989-03-31,,0.476
1989-04-30,0.5073,0.4956
1989-05-31,,0.5218
1989-06-30,,0.5173
1989-07-31,0.5438,0.5571
1989-08-31,,0.5565
1989-09-30,,0.5528
1989-10-31,0.5556,0.5309
1989-11-30,,0.5643
1989-12-31,,0.5734
1990-01-31,0.5377,0.5253
1990-02-28,,0.5449
1990-03-31,,0.5565
1990-04-30,0.5562,0.5383
1990-05-31,,0.6032
1990-06-30,,0.6001
1990-07-31,0.4765,0.5915
1990-08-31,,0.4281
1990-09-30,,0.4011
1990-10-31,0.5364,0.3916
1990-11-30,,0.5689
1990-12-31,,0.5876
1991-01-31,0.6078,0.6134
1991-02-28,,0.6556
1991-03-31,,0.6754
1991-04-30,0.6015,0.6754
1991-05-31,,0.6204
1991-06-30,,0.5894
1991-07-31,0.6414,0.6167
1991-08-31,,0.6594
1991-09-30,,0.6514
1991-10-31,0.725,0.6602
1991-11-30,,0.6951
1991-12-31,,0.7707
1992-01-31,0.7359,0.7673
1992-02-29,,0.7393
1992-03-31,,0.717
1992-04-30,0.7331,0.7246
1992-05-31,,0.733
1992-06-30,,0.7143
1992-07-31,0.7599,0.7434
1992-08-31,,0.7419
1992-09-30,,0.7486
1992-10-31,0.8515,0.754
1992-11-30,,0.8853
1992-12-31,,0.8968
1993-01-31,0.8683,0.9002
1993-02-28,,0.8616
1993-03-31,,0.8755
1993-04-30,0.8654,0.8464
1993-05-31,,0.8918
1993-06-30,,0.8977
1993-07-31,0.8781,0.8982
1993-08-31,,0.9113
1993-09-30,,0.9101
1993-10-31,0.8799,0.9203
1993-11-30,,0.8606
1993-12-31,,0.8728
1994-01-31,0.8379,0.8941
1994-02-28,,0.8162
1994-03-31,,0.7766
1994-04-30,0.8055,0.7842
1994-05-31,,0.8092
1994-06-30,,0.7825
1994-07-31,0.8281,0.803
1994-08-31,,0.8583
1994-09-30,,0.841
1994-10-31,0.8049,0.8519
1994-11-30,,0.7693
1994-12-31,,0.7775
1995-01-31,0.8473,0.7893
1995-02-28,,0.8761
1995-03-31,,0.8948
1995-04-30,0.892,0.9121
1995-05-31,,0.9175
1995-06-30,,0.9458
1995-07-31,0.9369,0.9813
1995-08-31,,0.9436
1995-09-30,,0.9792
1995-10-31,0.9561,0.9665
1995-11-30,,0.9965
1995-12-31,,1.0102
1996-01-31,0.9811,1.0359
1996-02-29,,0.9962
1996-03-31,,1.0021
1996-04-30,1.0108,1.022
1996-05-31,,1.0293
1996-06-30,,1.0154
1996-07-31,1.0079,0.9604
1996-08-31,,1.0347
1996-09-30,,1.0852
1996-10-31,0.9864,1.097
1996-11-30,,1.0484
1996-12-31,,1.0357
1997-01-31,0.9573,1.0898
1997-02-28,,0.9548
1997-03-31,,0.9106
1997-04-30,1.07,0.9498
1997-05-31,,1.1438
1997-06-30,,1.1952
1997-07-31,1.1171,1.286
1997-08-31,,1.0724
1997-09-30,,1.1355
1997-10-31,1.0645,1.0962
1997-11-30,,1.0996
1997-12-31,,1.1226
1998-01-31,1.1847,1.1323
1998-02-28,,1.2693
1998-03-31,,1.3314
1998-04-30,1.1839,1.3425
1998-05-31,,1.1507
1998-06-30,,1.1906
1998-07-31,1.0884,1.1594
1998-08-31,,0.9174
1998-09-30,,0.9776
1998-10-31,1.2078,1.0496
1998-11-30,,1.2862
1998-12-31,,1.3656
1999-01-31,1.2408,1.4129
1999-02-28,,1.1952
1999-03-31,,1.2363
1999-04-30,1.31,1.2902
1999-05-31,,1.2743
1999-06-30,,1.3306
1999-07-31,1.2418,1.2836
1999-08-31,,1.2234
1999-09-30,,1.1896
1999-10-31,1.3838,1.2656
1999-11-30,,1.4285
1999-12-31,,1.5334
2000-01-31,1.4671,1.4664
2000-02-29,,1.4874
2000-03-31,,1.5653
2000-04-30,1.3693,1.4824
2000-05-31,,1.3193
2000-06-30,,1.3687
2000-07-31,1.2885,1.3421
2000-08-31,,1.3855
2000-09-30,,1.3155
2000-10-31,1.1045,1.2833
2000-11-30,,0.9957
2000-12-31,,1.0141
2001-01-31,1.0026,1.0473
2001-02-28,,0.9051
2001-03-31,,0.845
2001-04-30,1.0604,0.9102
2001-05-31,,1.06
2001-06-30,,1.0432
2001-07-31,0.9037,1.0348
2001-08-31,,0.8467
2001-09-30,,0.7687
2001-10-31,1.0656,0.7951
2001-11-30,,1.1526
2001-12-31,,1.1776
2002-01-31,1.0611,1.1608
2002-02-28,,1.036
2002-03-31,,1.0727
2002-04-30,0.9333,1.0181
2002-05-31,,0.9208
2002-06-30,,0.8523
2002-07-31,0.7821,0.7823
2002-08-31,,0.7845
2002-09-30,,0.7032
2002-10-31,0.8406,0.7522
2002-11-30,,0.8944
2002-12-31,,0.8466
2003-01-31,0.7993,0.8185
2003-02-28,,0.7779
2003-03-31,,0.7799
2003-04-30,0.8998,0.8478
2003-05-31,,0.9539
2003-06-30,,0.9621
2003-07-31,0.9378,0.9812
2003-08-31,,0.9558
2003-09-30,,0.9376
2003-10-31,0.9683,0.9861
2003-11-30,,0.9822
2003-12-31,,1.0263
2004-01-31,0.9608,1.0436
2004-02-29,,0.9636
2004-03-31,,0.9397
2004-04-30,0.9464,0.9057
2004-05-31,,0.9454
2004-06-30,,0.9664
2004-07-31,0.8937,0.9286
2004-08-31,,0.8857
2004-09-30,,0.8963
2004-10-31,0.9404,0.9034
2004-11-30,,0.985
2004-12-31,,1.0209
2005-01-31,0.9151,0.9836
2005-02-28,,0.9256
2005-03-31,,0.9043
2005-04-30,0.9149,0.8806
2005-05-31,,0.9544
2005-06-30,,0.9628
2005-07-31,0.9139,0.9993
2005-08-31,,0.9043
2005-09-30,,0.8941
2005-10-31,0.8778,0.8654
2005-11-30,,0.9159
2005-12-31,,0.9123
2006-01-31,0.9094,0.9308
2006-02-28,,0.9114
2006-03-31,,0.9231
2006-04-30,0.8589,0.9254
2006-05-31,,0.8271
2006-06-30,,0.8243
2006-07-31,0.8561,0.8171
2006-08-31,,0.872
2006-09-30,,0.8949
2006-10-31,0.8691,0.9339
2006-11-30,,0.8907
2006-12-31,,0.8976
2007-01-31,0.8823,0.9128
2007-02-28,,0.8609
2007-03-31,,0.8607
2007-04-30,0.8841,0.8853
2007-05-31,,0.909
2007-06-30,,0.8951
2007-07-31,0.8761,0.8601
2007-08-31,,0.8931
2007-09-30,,0.9217
2007-10-31,0.8471,0.9379
2007-11-30,,0.7997
2007-12-31,,0.7956
2008-01-31,0.8475,0.7409
2008-02-29,,0.8168
2008-03-31,,0.7983
2008-04-30,0.8469,0.8277
2008-05-31,,0.8445
2008-06-30,,0.7598
2008-07-31,0.8129,0.7414
2008-08-31,,0.8243
2008-09-30,,0.7462
2008-10-31,0.7249,0.629
2008-11-30,,0.6778
2008-12-31,,0.7036
2009-01-31,0.6914,0.6449
2009-02-28,,0.6243
2009-03-31,,0.681
2009-04-30,0.8283,0.7539
2009-05-31,,0.8702
2009-06-30,,0.8635
2009-07-31,0.9065,0.9343
2009-08-31,,0.9319
2009-09-30,,0.97
2009-10-31,0.9586,0.9417
2009-11-30,,1.004
2009-12-31,,1.0331
2010-01-31,0.9732,0.9896
2010-02-28,,1.0028
2010-03-31,,1.054
2010-04-30,0.8728,1.0671
2010-05-31,,0.7963
2010-06-30,,0.7568
2010-07-31,0.9313,0.8111
2010-08-31,,0.8878
2010-09-30,,0.9706
2010-10-31,1.1096,1.0053
2010-11-30,,1.1136
2010-12-31,,1.1812
2011-01-31,1.1355,1.1925
2011-02-28,,1.16
2011-03-31,,1.1497
2011-04-30,1.1344,1.1706
2011-05-31,,1.1135
2011-06-30,,1.0953
2011-07-31,1.0531,1.0661
2011-08-31,,0.9892
2011-09-30,,0.909
2011-10-31,1.1134,1.0149
2011-11-30,,1.1071
2011-12-31,,1.1167
2012-01-31,1.1773,1.164
2012-02-29,,1.2186
2012-03-31,,1.2462
2012-04-30,1.1582,1.233
2012-05-31,,1.0862
2012-06-30,,1.1295
2012-07-31,1.195,1.1383
2012-08-31,,1.2159
2012-09-30,,1.2382
2012-10-31,1.1788,1.2207
2012-11-30,,1.1903
2012-12-31,,1.202
2013-01-31,1.2936,1.2588
2013-02-28,,1.3002
2013-03-31,,1.3461
2013-04-30,1.2977,1.3673
2013-05-31,,1.3251
2013-06-30,,1.3089
2013-07-31,1.2836,1.3797
2013-08-31,,1.2413
2013-09-30,,1.2884
2013-10-31,1.3318,1.3408
2013-11-30,,1.3679
2013-12-31,,1.4023
2014-01-31,1.3813,1.348
2014-02-28,,1.4359
2014-03-31,,1.432
2014-04-30,1.3774,1.4222
2014-05-31,,1.403
2014-06-30,,1.4338
2014-07-31,1.3735,1.4014
2014-08-31,,1.4283
2014-09-30,,1.3986
2014-10-31,1.4247,1.4361
2014-11-30,,1.4649
2014-12-31,,1.4722
2015-01-31,1.3944,1.4416
2015-02-28,,1.4708
2015-03-31,,1.4505
2015-04-30,1.3566,1.4598
2015-05-31,,1.3626
2015-06-30,,1.331
2015-07-31,1.298,1.3527
2015-08-31,,1.222
2015-09-30,,1.193
2015-10-31,1.3617,1.2873
2015-11-30,,1.3674
2015-12-31,,1.3443
2016-01-31,1.4067,1.2646
2016-02-29,,1.4068
2016-03-31,,1.5004
2016-04-30,1.3952,1.503
2016-05-31,,1.4079
2016-06-30,,1.3978
2016-07-31,1.363,1.4505
2016-08-31,,1.3649
2016-09-30,,1.3658
2016-10-31,1.3556,1.3351
2016-11-30,,1.4179
2016-12-31,,1.4365
2017-01-31,1.4014,1.4499
2017-02-28,,1.4391
2017-03-31,,1.436
2017-04-30,1.3348,1.4402
2017-05-31,,1.3449
2017-06-30,,1.3517
2017-07-31,1.3492,1.3768
2017-08-31,,1.3435
2017-09-30,,1.3673
2017-10-31,1.3685,1.3931
2017-11-30,,1.4024
2017-12-31,,1.4189
2018-01-31,1.3548,1.483
2018-02-28,,1.2939
2018-03-31,,1.2519
2018-04-30,1.3995,1.2519
2018-05-31,,1.4142
2018-06-30,,1.4129
2018-07-31,1.4611,1.4562
2018-08-31,,1.5113
2018-09-30,,1.5084
2018-10-31,1.319,1.3956
2018-11-30,,1.3485
2018-12-31,,1.2277
2019-01-31,1.4256,1.3365
2019-02-28,,1.4709
2019-03-31,,1.4798
2019-04-30,1.3878,1.5318
2019-05-31,,1.2927
2019-06-30,,1.3845
2019-07-31,1.3852,1.4038
2019-08-31,,1.3576
2019-09-30,,1.3794
2019-10-31,1.4422,1.406
2019-11-30,,1.4953
2019-12-31,,1.5389
2020-01-31,1.2408,1.5297
2020-02-29,,1.1406
2020-03-31,,0.985
2020-04-30,1.4745,1.1378
2020-05-31,,1.5366
2020-06-30,,1.5615
2020-07-31,1.5495,1.6365
2020-08-31,,1.649
2020-09-30,,1.5686
2020-10-31,1.6538,1.5338
2020-11-30,,1.8631
2020-12-31,,1.926
2021-01-31,1.7046,1.8774
2021-02-28,,1.716
2021-03-31,,1.7151
2021-04-30,1.7472,1.751
2021-05-31,,1.6985
2021-06-30,,1.7029
2021-07-31,1.6532,1.7244
2021-08-31,,1.6944
2021-09-30,,1.5992
2021-10-31,1.6965,1.6822
2021-11-30,,1.6445
2021-12-31,,1.6885
2022-01-31,1.6476,1.5428
2022-02-28,,1.5927
2022-03-31,,1.6095
2022-04-30,1.4289,1.456
2022-05-31,,1.3836
2022-06-30,,1.2524
2022-07-31,1.3861,1.3896
2022-08-31,,1.3519
2022-09-30,,1.2364
2022-10-31,1.3946,1.335
2022-11-30,,1.4693
2022-12-31,,1.4026
2023-01-31,1.465,1.4844
2023-02-28,,1.423
2023-03-31,,1.4564
2023-04-30,1.5304,1.4621
2023-05-31,,1.5649
2023-06-30,,1.6657
2023-07-31,1.5006,1.7282
2023-08-31,,1.4592
2023-09-30,,1.3903
2023-10-31,1.6424,1.3722
2023-11-30,,1.8043
2023-12-31,,1.9054
2024-01-31,1.767,1.8965
2024-02-29,,1.8348
2024-03-31,,1.9026
2024-04-30,1.7927,1.8152
2024-05-31,,1.8819
2024-06-30,,1.9417
2024-07-31,1.8525,1.979
2024-08-31,,1.8931
2024-09-30,,1.94
2024-10-31,1.9006,1.9232
2024-11-30,,2.0154
2024-12-31,,1.9611
2025-01-31,1.7874,2.0041
2025-02-28,,1.7362
2025-03-31,,1.6223
2025-04-30,1.911,1.6048
2025-05-31,,2.0079
2025-06-30,,2.1162
2025-07-31,1.9814,2.1567
2025-08-31,,2.0172
2025-09-30,,2.0834
2025-10-31,1.9802,2.1385
2025-11-30,,1.9808
2025-12-31,,1.9687
2026-01-31,,1.9906
2026-02-28,,1.9525
